company	Year	FCFF	TotalDebt	Revenues	NetCapExp	EBITDA	TaxRate	NetIncome
HAMBORNER AG	2004	4.0335446	-1.04	-0.912	-1.374	0.248	-0.1365	-0.814
HAMBORNER AG	2005	2.1532806	0.92	-0.762	-2.904	-0.412	0.1139	-1.134
HAMBORNER AG	2006	2.1532806	0.92	-0.762	-2.904	-0.412	0.1139	-1.134
HAMBORNER AG	2007	-7.5536504	0.24	3.068	7.336	0.838	0.0452	3.266
HAVAS SA	2003	48.6814208	386.12	7525.652	4.768	84.798	0.2947	16.126
HAVAS SA	2004	137.1617448	267.84	5239.172	-141.722	-23.412	-0.3094	-133.124
HAVAS SA	2005	58.5394448	-274.32	-4236.608	13.318	23.538	0.1463	26.666
HAVAS SA	2006	-185.9678552	-134.32	-4269.608	52.318	-26.462	-0.1387	51.666
HAVAS SA	2007	-58.4147552	-245.32	-4258.608	71.318	-58.462	0.0071	38.666
HAYS PLC	2003	101.358912	263.66	415.62	2.44	39.26	-0.35766	-10.18
HAYS PLC	2004	-123.587628	-134.74	-357.68	-17.46	-9.44	0.50924	-9.18
HAYS PLC	2005	-11.549628	-129.84	-237.98	-4.06	-35.24	-0.04886	-8.08
HAYS PLC	2006	-6.779908	-6.94	-51.78	8.94	-9.14	-0.04546	22.92
HAYS PLC	2007	40.558252	7.86	231.82	10.14	14.56	-0.05726	4.52
HBOS PLC	2003	-2220.27662	-39872.2	-6500.6	662.2	-2036.6	-0.01512	-714.4
HBOS PLC	2004	-5032.41352	-21203.2	-4103.6	414.2	-930.6	-0.00822	108.6
HBOS PLC	2005	1427.18518	-18099.2	4.4	-99.8	165.4	-0.01262	929.6
HBOS PLC	2006	15963.64848	27766.8	3815.4	-576.8	1097.4	0.02358	-486.4
HBOS PLC	2007	-10138.14352	51407.8	6784.4	-399.8	1704.4	0.01238	162.6
HEDEGAARD A/S	2003	-29.7160684	57.93	-210.424	71.956	11.18	0.06172	-5.684
HEDEGAARD A/S	2004	-21.2420454	40.04	214.136	-26.914	14.03	0.05182	0.306
HEDEGAARD A/S	2005	-39.9476604	40.32	49.346	-3.374	-17.67	-0.08808	22.336
HEDEGAARD A/S	2006	22.0466636	-70.41	-48.234	-32.294	2.19	-0.00648	-5.084
HEDEGAARD A/S	2007	68.8591106	-67.88	-4.824	-9.374	-9.73	-0.01898	-11.874
HEINEKEN NV	2003	-507.6426	-1152	-1168.2	173.2	-192	0.02458	-25.4
HEINEKEN NV	2004	106.0329	429	-924.2	-69.8	-49	-0.00382	-22.4
HEINEKEN NV	2005	233.8743	426	-174.2	-172.8	18	0.05618	-283.4
HEINEKEN NV	2006	-18.1535	110	616.8	48.2	14	-0.01692	-59.4
HEINEKEN NV	2007	185.8889	187	1649.8	21.2	209	-0.06002	390.6
HENEX	2003	-1.6429004	0	-1.548	0	-1.572	-0.01234	-8.2845196
HENEX	2004	-1.6429004	0	-1.548	0	-1.572	0.00526	-8.2804716
HENEX	2005	-1.6429004	0	-1.548	0	-1.572	0.00526	-8.2804716
HENEX	2006	-1.1629004	0	-1.548	0	-1.602	-0.00614	25.3954804
HENEX	2007	6.0916016	0	6.192	0	6.318	0.00796	-0.5500176
HENKEL KGAA	2003	2.15478	-1746.4	-1223.6	-109	-182.8	0.0954	-425.2
HENKEL KGAA	2004	-630.51782	-750.4	-1443.6	-20	-223.8	0.0544	-341.2
HENKEL KGAA	2005	440.89648	568.6	-287.6	-119	-26.8	-0.1592	874.8
HENKEL KGAA	2006	217.63338	1199.6	1094.4	113	232.2	0.0055	-103.2
HENKEL KGAA	2007	-30.16682	728.6	1860.4	135	201.2	0.0039	-5.2
HERA SPA	2003	97.5524882	-507.098	-497.44	-111.776	-103.604	0.06238	-28.798
HERA SPA	2004	94.9986292	-303.358	-342.88	-113.026	-54.294	-0.04952	-12.508
HERA SPA	2005	140.9540412	-71.458	-73.03	-107.616	-12.774	0.01908	-5.238
HERA SPA	2006	-537.0017428	320.242	166.31	374.774	36.276	-0.02152	18.392
HERA SPA	2007	203.4965842	561.672	747.04	-42.356	134.396	-0.01042	28.152
HF COMPANY	2003	-0.227146	-10.132	-29.262	-0.47	-3.166	0.01912	-1.568
HF COMPANY	2004	2.120272	-9.342	-29.032	-0.18	-2.156	0.02672	-0.808
HF COMPANY	2005	1.636883	-3.042	-11.282	-0.93	1.534	0.02482	0.022
HF COMPANY	2006	-13.655211	15.598	19.318	0.94	1.534	-0.05238	1.652
HF COMPANY	2007	10.125202	6.918	50.258	0.64	2.254	-0.01828	0.702
HIGH CO	2003	-25.6630712	12.596	42.612	3.594	9.956	5.06608	8.1073336
HIGH CO	2004	4.3164328	16.016	48.912	-14.076	-4.494	-1.44272	-16.8302024
HIGH CO	2005	9.1164328	-6.474	90.552	-24.246	-0.584	-1.44272	-22.9402024
HIGH CO	2006	4.3092528	-8.954	-93.978	18.094	-5.004	-1.03142	14.0532736
HIGH CO	2007	7.9209528	-13.184	-88.098	16.634	0.126	-1.14922	17.6097976
HMV GROUP PLC	2003	31.7819236	85.382	-113.756	0.64	5.462	-0.05472	25.042
HMV GROUP PLC	2004	35.6849796	59.122	-27.966	3.48	21.012	0.03158	38.202
HMV GROUP PLC	2005	2.6185536	-107.208	64.194	7.5	31.062	0.00828	51.092
HMV GROUP PLC	2006	-18.8025284	-74.798	4.464	-5.81	-6.018	0.02978	-37.118
HMV GROUP PLC	2007	-51.2829284	37.502	73.064	-5.81	-51.518	-0.01492	-77.218
HOCHTIEF AG	2003	147.4869916	45.818	-722.116	-163.236	7.946	-0.2035	-7.208
HOCHTIEF AG	2004	81.6894196	51.918	-2194.906	-146.086	-24.564	0.0632	-34.288
HOCHTIEF AG	2005	-188.9291354	19.078	-785.626	20.994	-48.394	0.1099	-9.358
HOCHTIEF AG	2006	17.0202776	-36.552	923.914	60.534	4.416	0.0831	12.272
HOCHTIEF AG	2007	-57.2675534	-80.262	2778.734	227.794	60.596	-0.0527	38.582
HOGANAS AB-B	2003	8.78886	3	-926.6	77.6	-12.4	0.01982	-40.4
HOGANAS AB-B	2004	-29.67784	277	-425.6	24.6	51.6	0.02282	-2.4
HOGANAS AB-B	2005	-274.00254	-60	-13.6	7.6	-14.4	0.00682	66.6
HOGANAS AB-B	2006	60.87986	71	418.4	-47.4	-60.4	0.00272	-67.4
HOGANAS AB-B	2007	234.01166	-291	947.4	-62.4	35.6	-0.05218	43.6
HOLIDAYBREAK PLC	2003	15.5697428	21.972	-41.78	-6.168	9.032	0.00328	7.646306
HOLIDAYBREAK PLC	2004	12.4550308	8.732	-19.73	-3.948	8.172	-0.00342	7.126306
HOLIDAYBREAK PLC	2005	12.4550308	8.732	1.69	-3.948	8.172	-0.00342	7.126306
HOLIDAYBREAK PLC	2006	-30.2680572	-20.768	3.21	8.782	-42.738	-0.00602	-26.585224
HOLIDAYBREAK PLC	2007	-10.2117472	-18.668	56.61	5.282	17.362	0.00958	4.686306
HOLMEN AB-A SHS	2003	701.98316	-606.2	-411.2	3.8	584	-0.04198	491.8
HOLMEN AB-A SHS	2004	718.39116	-1076.2	-676.2	-759.2	218	0.03952	-16.2
HOLMEN AB-A SHS	2005	-58.46604	-63.2	-839.2	-226.2	-330	-0.01018	-256.2
HOLMEN AB-A SHS	2006	-1775.47784	1912.8	-173.2	1605.8	-730	0.00022	-211.2
HOLMEN AB-A SHS	2007	413.56956	-167.2	2099.8	-624.2	258	0.01242	-8.2
HORNBY PLC	2003	-0.927089	-0.258	-7.688	-0.408	-2.52	-0.00588	-0.724
HORNBY PLC	2004	0.678362	-0.168	-2.858	-0.358	-1.39	0.01852	0.276
HORNBY PLC	2005	0.907919	-0.198	3.182	-0.318	0.35	-0.00248	1.246
HORNBY PLC	2006	-1.560076	-0.138	2.282	0.012	1.33	-0.00408	-0.224
HORNBY PLC	2007	0.900884	0.762	5.082	1.072	2.23	-0.00608	-0.574
HUBWOO.COM	2003	5.234	-0.262	-13.806	-1.49	3.512	-0.00036	2.769876
HUBWOO.COM	2004	8.104	0.278	-9.376	-1.5	8.152	-0.00036	6.809876
HUBWOO.COM	2005	7.084	-0.252	-1.626	0.15	7.752	0.00144	7.850496
HUBWOO.COM	2006	8.144	-0.042	11.694	1.84	7.622	-0.00036	8.769876
HUBWOO.COM	2007	-28.566	0.278	13.114	1	-27.038	-0.00036	-26.200124
HUHTAMAKI OYJ	2003	7.189014	110.36	46.98	-9.8	98.7	-0.01764	32.7
HUHTAMAKI OYJ	2004	40.594814	23.86	-83.42	-23.3	-11.7	0.00366	-19.3
HUHTAMAKI OYJ	2005	55.257934	-39.44	-99.42	-37.6	8	-0.09284	-2.4
HUHTAMAKI OYJ	2006	-52.011676	-32.14	51.98	15.9	-70.5	0.27606	-48.7
HUHTAMAKI OYJ	2007	-51.030086	-62.64	83.88	54.8	-24.5	-0.16924	37.7
HUNTING PLC	2003	-14.449698	-43.54	-395.52	0.64	-23.8	0.01622	-7.64
HUNTING PLC	2004	1.411362	-13.14	-151.42	-4.66	-19.2	-0.02518	-4.34
HUNTING PLC	2005	3.329512	-9.74	-91.72	-9.76	-12.2	0.03792	-1.74
HUNTING PLC	2006	1.203462	33.46	175.08	-1.56	5.4	-0.01178	-5.14
HUNTING PLC	2007	8.505362	32.96	463.58	15.34	49.8	-0.01718	18.86
HUNTSWORTH PLC	2003	-6.7191718	-15.608	-51.7	1.84	-7.172	-0.10868	-2.837678
HUNTSWORTH PLC	2004	-6.5391718	-10.458	-43.41	1.29	-5.912	-0.10868	-1.717678
HUNTSWORTH PLC	2005	-2.6568058	-13.858	-8.61	1.03	-2.712	0.09802	1.382322
HUNTSWORTH PLC	2006	14.5235932	11.632	36.16	-2.14	11.638	-0.01918	4.370712
HUNTSWORTH PLC	2007	1.3915562	28.292	67.56	-2.02	4.158	0.13852	-1.197678
HUVEAUX PLC	2003	-1.4466016	-6.664	-18.356	-0.014	-2.38	-0.09664	-1.034
HUVEAUX PLC	2004	-1.4466016	-6.664	-13.776	-0.014	-2.38	-0.09664	-1.034
HUVEAUX PLC	2005	-1.4466016	-6.664	-3.926	-0.014	-2.38	-0.09664	-1.034
HUVEAUX PLC	2006	1.7598964	3.656	9.384	-0.114	2.34	0.10606	0.666
HUVEAUX PLC	2007	2.5799084	16.336	26.674	0.156	4.8	0.18386	2.436
HYMER AG	2003	5.1348156	-20.598	-121.062	0.638	-14.742	-0.08358	-4.134
HYMER AG	2004	24.9176996	-32.528	-80.552	-2.252	-9.522	0.03372	-6.004
HYMER AG	2005	15.7177076	-26.758	5.018	3.598	7.888	0.02542	5.486
HYMER AG	2006	-17.9844384	4.002	38.358	0.498	6.498	0.03662	3.606
HYMER AG	2007	-27.7857844	75.882	158.238	-2.482	9.878	-0.01218	1.046
HYPARLO SA	2003	-7.218289	42.548	-114.752	-0.158	-19.252	0.13556	-14.686
HYPARLO SA	2004	-21.171993	-47.012	-182.592	-7.648	-17.162	0.00176	2.774
HYPARLO SA	2005	13.172691	-47.932	-136.062	-15.268	-16.872	0.04656	-16.036
HYPARLO SA	2006	22.664424	39.218	153.588	13.872	54.678	-0.02174	34.944
HYPARLO SA	2007	-7.446833	13.178	279.818	9.202	-1.392	-0.16214	-6.996
IASO S.A.	2003	12.9166436	-30.998	-32.094	-3.694	7.086	-0.13684	5.6012716
IASO S.A.	2004	-16.4545604	-28.648	-23.604	-3.694	-11.354	0.48606	-6.7196904
IASO S.A.	2005	3.7040396	-17.228	-3.094	-3.694	-7.754	-0.14294	-4.9522004
IASO S.A.	2006	-2.8898404	40.722	15.846	5.026	-1.074	-0.15094	-0.6396904
IASO S.A.	2007	2.7237176	36.152	42.946	6.056	13.096	-0.05534	6.7103096
IAWS GROUP PLC	2003	-26.0278924	-109.86	-245.018	12.09	-24.214	0.01218	-14.666
IAWS GROUP PLC	2004	-4.9153724	-107.24	-199.818	0.11	-21.604	0.00078	-14.036
IAWS GROUP PLC	2005	-30.6198864	-33.24	-67.918	10.03	-10.194	0.02088	-2.326
IAWS GROUP PLC	2006	-25.6395404	-12.11	81.222	28.42	7.646	-0.02562	3.414
IAWS GROUP PLC	2007	87.2026916	262.45	431.532	-50.65	48.366	-0.00822	27.614
IBERSOL SGPS SA	2003	-0.6587264	-7.426	-20.454	0.482	-4.588	-0.2441	-0.228
IBERSOL SGPS SA	2004	-5.3286584	-8.146	-10.524	3.042	-2.718	0.0658	-2.278
IBERSOL SGPS SA	2005	1.0173856	-10.446	0.346	-1.708	0.342	0.0881	-0.838
IBERSOL SGPS SA	2006	2.1209836	-17.876	3.356	-1.768	1.542	0.0509	0.822
IBERSOL SGPS SA	2007	2.8490156	43.894	27.276	-0.048	5.422	0.0393	2.522
IC COMPANYS A/S	2003	90.1144784	122.996	-196.356	-13.506	11.598	0.65072	-68.48
IC COMPANYS A/S	2004	-6.4136296	-56.464	-290.566	-45.496	-272.512	-0.29748	-282.28
IC COMPANYS A/S	2005	191.6778404	-212.464	-83.346	-39.626	55.198	-0.29748	103.04
IC COMPANYS A/S	2006	-312.8715696	106.866	119.234	34.214	13.708	-0.00738	82.16
IC COMPANYS A/S	2007	37.4928804	39.066	451.034	64.414	192.008	-0.04838	165.56
ICAP PLC	2003	-26.421392	-86.68	-187.8	32.72	-62.38	-0.04908	-33.7
ICAP PLC	2004	14.274288	-84.78	-50.7	-10.98	-5.18	-0.02768	-8.6
ICAP PLC	2005	-5.475712	-86.08	-58.1	-3.28	-13.68	0.00192	-11
ICAP PLC	2006	-44.178372	41.32	42.4	8.52	-3.98	0.01842	62.5
ICAP PLC	2007	61.801188	216.22	254.2	-26.98	85.22	0.05642	-9.2
ICON PLC	2003	-2.1371412	2.744	-100.592	2.488	-7.98	0.00076	-3.056
ICON PLC	2004	-2.1371412	2.744	-29.392	2.488	-7.98	0.00076	-3.056
ICON PLC	2005	-2.1371412	2.744	0.348	2.488	-7.98	0.00076	-3.056
ICON PLC	2006	-4.2221682	-4.116	0.348	-3.732	3	0.02266	-7.796
ICON PLC	2007	10.6335918	-4.116	129.288	-3.732	20.94	-0.02494	16.964
IDI	2003	-6.3760362	-27.914	-9.518	-0.016	-6.64	0.00426	-8.036
IDI	2004	-13.6460362	-15.324	-9.428	-0.026	-6.91	-0.04174	-4.076
IDI	2005	-13.6460362	-15.324	-9.948	-0.026	-6.91	-0.04174	-4.076
IDI	2006	40.2041448	-15.954	37.932	-0.046	30.6	0.01906	2.874
IDI	2007	-6.5360362	74.516	-9.038	0.114	-10.14	0.06016	13.314
IDS SCHEER AG	2003	8.1876546	-8.828	-89.678	3.882	-6.22	0.0591	-4.654
IDS SCHEER AG	2004	0.0941756	-0.998	-49.848	0.052	-0.81	-0.0093	1.036
IDS SCHEER AG	2005	-12.9450874	1.652	9.202	-0.188	3.26	-0.0213	2.876
IDS SCHEER AG	2006	-5.3303594	5.872	47.092	-2.278	1.99	-0.0071	0.666
IDS SCHEER AG	2007	9.9936166	2.302	83.232	-1.468	1.78	-0.0214	0.076
IFG GROUP PLC	2003	-2.2223066	14.39	-7.12	1.464	1.918	-0.13032	0.99
IFG GROUP PLC	2004	8.6970664	-7.42	-2.94	-3.316	0.278	0.28318	-0.41
IFG GROUP PLC	2005	12.0250564	2.05	-1.05	-2.216	0.468	-0.13032	-0.15
IFG GROUP PLC	2006	-12.3599476	-4.78	-1.72	1.764	-4.792	-0.00352	-2.22
IFG GROUP PLC	2007	-6.1398686	-4.24	12.83	2.304	2.128	-0.01902	1.79
ILOG SA	2003	-0.0453898	0.254	-13.462	-1.292	0.102	0.24612	-1.952
ILOG SA	2004	1.5834982	0.114	-15.042	-1.362	-0.308	0.14902	-1.942
ILOG SA	2005	1.5834982	0.114	-2.452	-1.362	-0.308	0.14902	-1.942
ILOG SA	2006	1.2120262	-0.106	8.718	0.538	0.912	-0.27208	3.168
ILOG SA	2007	-4.3336328	-0.376	22.238	3.478	-0.398	-0.27208	2.668
IMERYS SA	2003	49.179551	40.664	-96.994	-62.288	-51.678	0.09338	-58.504
IMERYS SA	2004	-14.621469	-140.136	-230.344	-82.108	-27.518	0.07648	-41.764
IMERYS SA	2005	-28.495622	-162.916	-86.874	20.112	-8.368	0.02058	7.396
IMERYS SA	2006	-7.911695	171.944	85.656	91.142	18.032	-0.10342	107.436
IMERYS SA	2007	1.849235	90.444	328.556	33.142	69.532	-0.08702	-14.564
IMI PLC	2003	50.32278	43.12	-33.82	-13.08	-1.6	-0.10114	5.9
IMI PLC	2004	5.16741	13.32	67.88	-10.48	-5	0.02946	37.3
IMI PLC	2005	-13.61162	-17.88	114.18	-3.78	4	0.15416	52.2
IMI PLC	2006	-25.41859	-14.98	-156.12	18.02	-9	-0.03594	-77.3
IMI PLC	2007	-16.45998	-23.58	7.88	9.32	11.6	-0.04654	-18.1
IMMOBEL	2003	4.1882864	-61.848	-52.298	-1.938	-6.29	-0.31564	-5.076923
IMMOBEL	2004	3.8769534	-38.788	-32.558	0.792	-3.84	0.39986	-6.642308
IMMOBEL	2005	-78.2796976	37.572	26.472	-2.208	-5.89	0.18176	-5.096923
IMMOBEL	2006	43.8999684	28.612	-13.388	0.642	3.11	-0.17964	6.913077
IMMOBEL	2007	26.3144894	34.452	71.772	2.712	12.91	-0.08634	9.903077
IMMSI SPA	2003	-59.0681848	-414.02	-891.682	21.326	-94.684	-0.24758	-4.882
IMMSI SPA	2004	-79.4081848	-39.2	-775.152	5.616	-115.024	-0.24758	-67.692
IMMSI SPA	2005	-85.5387088	169.06	228.048	-8.884	61.746	0.29832	8.398
IMMSI SPA	2006	79.1561032	168.31	638.788	0.916	69.776	0.31722	3.488
IMMSI SPA	2007	144.8589752	115.85	799.998	-18.974	78.186	-0.12038	60.688
IMPRESA SGPS	2003	-47.1229756	-22.82	-9.89	8.58	-33.99	-0.09376	-28.5293216
IMPRESA SGPS	2004	25.8945284	-10.97	7.1	-10.96	-1.62	-0.15136	-4.7201696
IMPRESA SGPS	2005	10.4218484	-67.98	1.44	-7.66	17.61	0.15004	2.3998304
IMPRESA SGPS	2006	8.0272644	53.72	4.06	4.12	13.4	0.08304	18.1998304
IMPRESA SGPS	2007	2.7793344	48.05	-2.71	5.92	4.6	0.01204	12.6498304
IMTECH NV	2003	1.341464	-22.382	-272.788	8.482	-6.13	0.00834	-1.87
IMTECH NV	2004	-9.967621	-26.852	-174.348	-5.448	-9.23	0.00514	-5.52
IMTECH NV	2005	-12.379332	-31.742	-205.888	-7.038	-7.06	0.04254	-12.13
IMTECH NV	2006	39.575734	17.078	96.962	0.482	-5.23	-0.03036	1.35
IMTECH NV	2007	-18.570245	63.898	556.062	3.522	27.65	-0.02566	18.17
INCHCAPE PLC	2003	-10.208316	-40	-718.18	-2.22	-54.42	0.0062	-37.58
INCHCAPE PLC	2004	-22.109266	-102.8	-338.78	-2.42	-30.52	-0.0048	0.22
INCHCAPE PLC	2005	-29.125516	-109.2	-9.28	-4.82	7.88	0.0373	15.82
INCHCAPE PLC	2006	-22.905766	24.4	356.12	11.78	24.88	0.0262	-12.88
INCHCAPE PLC	2007	84.348864	227.6	710.12	-2.32	52.18	-0.0649	34.42
INDITEX	2003	-168.8925274	22.33	-1848.33	-78.184	-381.744	0.00858	-225.384
INDITEX	2004	-253.5916544	-13.48	-1223.39	-36.014	-381.284	-0.00352	-217.024
INDITEX	2005	145.0727026	16.55	-151.89	-17.784	-23.534	0.01118	-35.344
INDITEX	2006	174.2961986	33.75	849.65	58.996	228.096	0.00078	139.686
INDITEX	2007	103.1152806	-59.15	2373.96	72.986	558.466	-0.01702	338.066
INFO-QUEST SA	2003	26.571639	31.324	-50.614	-1.94	-19.044	-0.27116	-58.212
INFO-QUEST SA	2004	34.781639	52.404	8.246	-1.94	-10.834	-0.27116	-50.812
INFO-QUEST SA	2005	43.236522	-72.146	16.586	-1.94	-2.974	-0.27116	-42.132
INFO-QUEST SA	2006	0.714177	86.004	70.726	2.7	33.226	0.08464	-30.642
INFO-QUEST SA	2007	-105.303977	-97.586	-44.944	3.12	-0.374	0.72884	181.798
INFORMER SA	2003	5.2384344	-1.292	7.022	-0.28	1.684	-0.07262	2.0231024
INFORMER SA	2004	5.9248464	2.118	6.282	-0.28	4.564	0.24808	2.2475904
INFORMER SA	2005	3.0484344	-3.722	-4.018	-0.28	-0.506	-0.07262	-0.1668976
INFORMER SA	2006	-11.0001496	5.008	-2.588	0.69	-1.366	-0.03022	0.8631024
INFORMER SA	2007	-3.2115656	-2.112	-6.698	0.15	-4.376	-0.07262	-4.9668976
INFOTEL	2003	-1.3833946	-0.016	-9.592	-0.526	-0.426	0.02166	-0.514
INFOTEL	2004	0.4904124	-0.026	-9.832	-0.196	-0.416	0.01096	-0.314
INFOTEL	2005	1.6735174	0.054	-7.302	0.014	-0.056	-0.09724	0.276
INFOTEL	2006	-1.4041786	0.014	1.048	0.164	-0.216	-0.02724	0.326
INFOTEL	2007	0.6236434	-0.026	25.678	0.544	1.114	0.09186	0.226
INFOVISTA SA	2003	-3.9814252	0	-8.06	-0.388	-6.592	-0.05044	-6.964
INFOVISTA SA	2004	-1.0214252	0	-4.89	-0.708	0.838	-0.05044	0.406
INFOVISTA SA	2005	-1.0214252	0	0.72	-0.708	0.838	-0.05044	0.406
INFOVISTA SA	2006	4.3157008	0	7.03	1.252	3.468	0.20176	4.316
INFOVISTA SA	2007	1.7085748	0	5.2	0.552	1.448	-0.05044	1.836
INGENICO	2003	-10.6535988	-39.528	-1.602	-11.328	22.212	3.00422	-10.3545138
INGENICO	2004	12.3908462	-49.438	-75.132	1.712	-17.938	-0.58978	-3.2848308
INGENICO	2005	7.0708622	-30.188	-4.082	-0.388	8.742	-0.91008	15.4364482
INGENICO	2006	-38.7191538	67.382	5.768	7.312	-39.548	-0.91008	-28.8135518
INGENICO	2007	29.9110442	51.772	75.048	2.692	26.532	-0.59428	27.0164482
INNOCONCEPTS	2003	-1.4585424	-0.514	2.936	0.878	-3.912	-0.00918	-6.716
INNOCONCEPTS	2004	-13.2474324	1.406	16.586	5.398	-2.572	0.05562	-5.596
INNOCONCEPTS	2005	-1.9779924	-2.834	-4.564	2.358	1.178	-0.02208	-3.896
INNOCONCEPTS	2006	19.2679396	0.186	-4.074	-5.072	4.018	-0.04018	13.864
INNOCONCEPTS	2007	-2.5839724	1.756	-10.884	-3.562	1.288	0.01582	2.344
INNOGENETICS NV	2003	2.902	-4.346	-7.162	-0.886	1.736	0	1.388
INNOGENETICS NV	2004	-1.028	-4.776	-1.822	-0.616	3.836	0	4.048
INNOGENETICS NV	2005	10.232	-5.896	16.258	-0.486	4.896	0	5.018
INNOGENETICS NV	2006	-1.058	10.624	-6.212	4.014	-4.584	0	-1.932
INNOGENETICS NV	2007	-11.048	4.394	-1.062	-2.026	-5.884	0	-8.522
INTECHNOLOGY PLC	2003	-1.904286	-2.414	-25.476	0.37	-3.284	-0.0141	-2.136998
INTECHNOLOGY PLC	2004	-1.904286	-2.414	41.134	0.37	-3.284	-0.0141	-2.136998
INTECHNOLOGY PLC	2005	-10.054286	22.086	101.144	0.42	3.266	-0.0141	0.483002
INTECHNOLOGY PLC	2006	13.667144	-9.124	32.594	-3.04	4.796	0.0564	2.657992
INTECHNOLOGY PLC	2007	0.195714	-8.134	-149.396	1.88	-1.494	-0.0141	1.133002
INTEK SPA	2003	12.6386164	6.814	42.458	0.02	23.082	0.30826	12.8300392
INTEK SPA	2004	-3.2334296	0.874	-7.152	0.02	-5.548	0.06096	-3.0420068
INTEK SPA	2005	-1.5303196	-0.896	-8.082	-0.08	-4.698	-0.10954	-2.2960108
INTEK SPA	2006	-3.9374336	-3.396	-13.612	0.02	-6.418	-0.12984	-3.7460108
INTEK SPA	2007	-3.9374336	-3.396	-13.612	0.02	-6.418	-0.12984	-3.7460108
INTER PARFUMS	2003	2.3678806	-7.178	-63.83	-0.066	-8.914	-0.00074	-5.504
INTER PARFUMS	2004	-5.6809604	-7.838	-32.65	2.054	-4.794	-0.00424	-1.664
INTER PARFUMS	2005	-16.1269364	7.052	0.22	0.144	1.416	-0.00144	0.866
INTER PARFUMS	2006	11.8633286	7.592	37.23	-0.736	4.316	-0.00094	1.956
INTER PARFUMS	2007	7.5766876	0.372	59.03	-1.396	7.976	0.00736	4.346
INTERSEROH AG	2003	-3.9095048	-4.102	-269.142	-1.4	-9.7	0.04812	-7.124
INTERSEROH AG	2004	7.6844312	-2.762	-186.642	-12.67	-6.31	0.13392	-9.514
INTERSEROH AG	2005	-3.4938498	-4.322	116.798	-5.3	8.29	-0.11638	10.066
INTERSEROH AG	2006	17.3309932	-1.742	23.558	2.61	-1.38	-0.03528	-0.024
INTERSEROH AG	2007	-17.6120698	12.928	315.428	16.76	9.1	-0.03038	6.596
INTERSERVE PLC	2003	-3.611494	-19.62	-134.5	4.86	-0.04	-0.09812	14.048576
INTERSERVE PLC	2004	22.364836	-17.12	-75	-7.74	-18.44	-0.24132	-4.451424
INTERSERVE PLC	2005	-7.748674	-5.22	16.1	-1.84	2.46	-0.05682	6.448576
INTERSERVE PLC	2006	-4.243554	-32.42	7	2.16	6.36	-0.10472	6.548576
INTERSERVE PLC	2007	-6.761114	74.38	186.4	2.56	9.66	0.50098	-22.594304
INVENSYS PLC	2003	-43.56202	612.4	1125	-90.4	89.4	-0.09476	-2.6
INVENSYS PLC	2004	-220.36602	237.4	452	14.6	0.4	0.05484	26.4
INVENSYS PLC	2005	47.07618	112.4	-330	14.6	-72.6	-0.01266	19.4
INVENSYS PLC	2006	175.50998	-116.6	-676	26.6	3.4	-0.09476	-115.6
INVENSYS PLC	2007	41.34188	-845.6	-571	34.6	-20.6	0.14734	72.4
INVESTEC PLC	2003	-450.413055	-1164.798	-240.202	-45.204	-136.76	-0.10892	-109.944
INVESTEC PLC	2004	59.36733	-2181.148	-344.792	-26.654	-111.07	0.01508	-67.774
INVESTEC PLC	2005	141.123652	207.712	-197.852	-34.274	-36.9	0.10228	-1.034
INVESTEC PLC	2006	245.275713	110.242	172.758	39.276	105.45	-0.00532	-3.994
INVESTEC PLC	2007	4.64636	3027.992	610.088	66.856	179.28	-0.00312	182.746
IOMART GROUP PLC	2003	-2.3998176	-2.338	-12.136	-0.156	-2.962	0.07788	-3.0654728
IOMART GROUP PLC	2004	-2.2798176	-2.588	-6.946	0.424	-2.052	0.09848	-2.0549328
IOMART GROUP PLC	2005	1.3979104	0.262	2.294	0.174	1.228	-0.07232	1.7301352
IOMART GROUP PLC	2006	-0.8684576	0.682	10.004	-0.496	4.098	-0.03172	2.6101352
IOMART GROUP PLC	2007	4.1501824	3.982	6.784	0.054	-0.312	-0.07232	0.7801352
IPI SPA	2003	52.903664	-175.536	-82.27	1.064	3.212	0.07668	12.526
IPI SPA	2004	-72.987489	-109.536	-70.73	0.914	3.972	0.13058	7.606
IPI SPA	2005	95.721915	-72.676	20.72	0.564	-1.178	0.20878	2.666
IPI SPA	2006	-205.678853	220.664	195.55	-1.696	42.602	-0.20802	33.596
IPI SPA	2007	130.040763	137.084	-63.27	-0.846	-48.608	-0.20802	-56.394
IPSOS	2003	0.3429974	-44.324	-119.374	-10.074	-11.736	0.10948	-13.492
IPSOS	2004	6.2084074	-30.774	-88.094	-9.134	-4.216	0.01898	-8.582
IPSOS	2005	-4.3098436	-22.304	-52.214	-10.474	-1.176	-0.00922	-8.942
IPSOS	2006	5.7520514	55.716	60.176	7.406	7.694	-0.06372	12.098
IPSOS	2007	-7.9936126	41.686	199.506	22.276	9.434	-0.05552	18.918
IRCE SPA	2003	13.5338998	-19.302	-54.778	0.842	-2.77	-0.23766	-0.409724
IRCE SPA	2004	12.7347548	-21.602	-79.608	-3.928	-4.71	0.17344	-1.571104
IRCE SPA	2005	-6.2312062	-7.922	-25.568	7.082	-1.48	-0.10686	0.870276
IRCE SPA	2006	-1.1943912	7.698	14.362	-3.828	-3.66	0.25364	0.810276
